idImpianto;Gestore;Bandiera;Tipo Impianto;Nome Impianto;Indirizzo;Comune;Provincia;Latitudine;Longitudine;descCarburante
3523;ZAMBON S.A.S. DI ZAMBON SONIA & C.;Tamoil;Autostradale;CALSTORTA NORD;Autostrada A4 VENEZIA-TRIESTE, Km. 35.015, dir. Ovest 31040;CESSALTO;TV;4.57E+15;1.26E+16;Benzina
3523;ZAMBON S.A.S. DI ZAMBON SONIA & C.;Tamoil;Autostradale;CALSTORTA NORD;Autostrada A4 VENEZIA-TRIESTE, Km. 35.015, dir. Ovest 31040;CESSALTO;TV;4.57E+15;1.26E+16;Gasolio
3523;ZAMBON S.A.S. DI ZAMBON SONIA & C.;Tamoil;Autostradale;CALSTORTA NORD;Autostrada A4 VENEZIA-TRIESTE, Km. 35.015, dir. Ovest 31040;CESSALTO;TV;4.57E+15;1.26E+16;Benzina WR 100
3523;ZAMBON S.A.S. DI ZAMBON SONIA & C.;Tamoil;Autostradale;CALSTORTA NORD;Autostrada A4 VENEZIA-TRIESTE, Km. 35.015, dir. Ovest 31040;CESSALTO;TV;4.57E+15;1.26E+16;Benzina WR 100
3561;NUOVA SIDAP  S.R.L.;Esso;Autostradale;SCALIGERA;Autostrada A4 BRESCIA--PADOVA, Km. 176.2, dir. Est;SOAVE;VR;4.54E+14;1.12E+16;Benzina
3561;NUOVA SIDAP  S.R.L.;Esso;Autostradale;SCALIGERA;Autostrada A4 BRESCIA--PADOVA, Km. 176.2, dir. Est;SOAVE;VR;4.54E+14;1.12E+16;Benzina
3561;NUOVA SIDAP  S.R.L.;Esso;Autostradale;SCALIGERA;Autostrada A4 BRESCIA--PADOVA, Km. 176.2, dir. Est;SOAVE;VR;4.54E+14;1.12E+16;Gasolio
3561;NUOVA SIDAP  S.R.L.;Esso;Autostradale;SCALIGERA;Autostrada A4 BRESCIA--PADOVA, Km. 176.2, dir. Est;SOAVE;VR;4.54E+14;1.12E+16;Gasolio
3561;NUOVA SIDAP  S.R.L.;Esso;Autostradale;SCALIGERA;Autostrada A4 BRESCIA--PADOVA, Km. 176.2, dir. Est;SOAVE;VR;4.54E+14;1.12E+16;GPL
3561;NUOVA SIDAP  S.R.L.;Esso;Autostradale;SCALIGERA;Autostrada A4 BRESCIA--PADOVA, Km. 176.2, dir. Est;SOAVE;VR;4.54E+14;1.12E+16;Gasolio Premium
3561;NUOVA SIDAP  S.R.L.;Esso;Autostradale;SCALIGERA;Autostrada A4 BRESCIA--PADOVA, Km. 176.2, dir. Est;SOAVE;VR;4.54E+14;1.12E+16;Gasolio Premium
3575;CARBURANTI MONTE BALDO NORD S.N.C. DI GALANTE ALESSANDRO E C.;Agip Eni;Autostradale;MONTE BALDO OVEST;Autostrada A4 BRESCIA--PADOVA, Km. 149.941, dir. Ovest;SOMMACAMPAGNA;VR;4.54E+15;1.09E+15;Benzina
3575;CARBURANTI MONTE BALDO NORD S.N.C. DI GALANTE ALESSANDRO E C.;Agip Eni;Autostradale;MONTE BALDO OVEST;Autostrada A4 BRESCIA--PADOVA, Km. 149.941, dir. Ovest;SOMMACAMPAGNA;VR;4.54E+15;1.09E+15;Gasolio
3575;CARBURANTI MONTE BALDO NORD S.N.C. DI GALANTE ALESSANDRO E C.;Agip Eni;Autostradale;MONTE BALDO OVEST;Autostrada A4 BRESCIA--PADOVA, Km. 149.941, dir. Ovest;SOMMACAMPAGNA;VR;4.54E+15;1.09E+15;Blue Super
3575;CARBURANTI MONTE BALDO NORD S.N.C. DI GALANTE ALESSANDRO E C.;Agip Eni;Autostradale;MONTE BALDO OVEST;Autostrada A4 BRESCIA--PADOVA, Km. 149.941, dir. Ovest;SOMMACAMPAGNA;VR;4.54E+15;1.09E+15;Blue Diesel
3581;Adige Est s.n.c. di Mazzoni M. & C.;Esso;Autostradale;ADIGE EST;Autostrada A13 BOLOGNA-PADOVA, Km. 65+300, dir. Nord 45023;COSTA DI ROVIGO;RO;4.50E+15;1.17E+16;Benzina
3581;Adige Est s.n.c. di Mazzoni M. & C.;Esso;Autostradale;ADIGE EST;Autostrada A13 BOLOGNA-PADOVA, Km. 65+300, dir. Nord 45023;COSTA DI ROVIGO;RO;4.50E+15;1.17E+16;Benzina
3581;Adige Est s.n.c. di Mazzoni M. & C.;Esso;Autostradale;ADIGE EST;Autostrada A13 BOLOGNA-PADOVA, Km. 65+300, dir. Nord 45023;COSTA DI ROVIGO;RO;4.50E+15;1.17E+16;Gasolio
3581;Adige Est s.n.c. di Mazzoni M. & C.;Esso;Autostradale;ADIGE EST;Autostrada A13 BOLOGNA-PADOVA, Km. 65+300, dir. Nord 45023;COSTA DI ROVIGO;RO;4.50E+15;1.17E+16;Gasolio
3581;Adige Est s.n.c. di Mazzoni M. & C.;Esso;Autostradale;ADIGE EST;Autostrada A13 BOLOGNA-PADOVA, Km. 65+300, dir. Nord 45023;COSTA DI ROVIGO;RO;4.50E+15;1.17E+16;GPL
3581;Adige Est s.n.c. di Mazzoni M. & C.;Esso;Autostradale;ADIGE EST;Autostrada A13 BOLOGNA-PADOVA, Km. 65+300, dir. Nord 45023;COSTA DI ROVIGO;RO;4.50E+15;1.17E+16;Gasolio Premium
3588;ECOENERGY S.A.S. DI RAGAZZO L. E C.;Agip Eni;Autostradale;BAZZERA SUD;Autostrada A57 TANGENZIALE DI MESTRE, Km. 18.4, dir. Est;VENEZIA;VE;4.55E+15;1.23E+16;Benzina
3588;ECOENERGY S.A.S. DI RAGAZZO L. E C.;Agip Eni;Autostradale;BAZZERA SUD;Autostrada A57 TANGENZIALE DI MESTRE, Km. 18.4, dir. Est;VENEZIA;VE;4.55E+15;1.23E+16;Gasolio
3588;ECOENERGY S.A.S. DI RAGAZZO L. E C.;Agip Eni;Autostradale;BAZZERA SUD;Autostrada A57 TANGENZIALE DI MESTRE, Km. 18.4, dir. Est;VENEZIA;VE;4.55E+15;1.23E+16;GPL
3588;ECOENERGY S.A.S. DI RAGAZZO L. E C.;Agip Eni;Autostradale;BAZZERA SUD;Autostrada A57 TANGENZIALE DI MESTRE, Km. 18.4, dir. Est;VENEZIA;VE;4.55E+15;1.23E+16;Blue Super
3588;ECOENERGY S.A.S. DI RAGAZZO L. E C.;Agip Eni;Autostradale;BAZZERA SUD;Autostrada A57 TANGENZIALE DI MESTRE, Km. 18.4, dir. Est;VENEZIA;VE;4.55E+15;1.23E+16;Blue Diesel
3599;AREA DI SERVIZIO AGIP PIAN DI VEDOIA OVEST DI FABBIANE MARIO SAS;Api-Ip;Autostradale;PONTE NELLE ALPI;Autostrada A27 MESTRE-BELLUNO, Km. 81+500, dir. Sud 32014;PONTE NELLE ALPI;BL;4.62E+16;1.23E+15;Benzina
3599;AREA DI SERVIZIO AGIP PIAN DI VEDOIA OVEST DI FABBIANE MARIO SAS;Api-Ip;Autostradale;PONTE NELLE ALPI;Autostrada A27 MESTRE-BELLUNO, Km. 81+500, dir. Sud 32014;PONTE NELLE ALPI;BL;4.62E+16;1.23E+15;Benzina
3599;AREA DI SERVIZIO AGIP PIAN DI VEDOIA OVEST DI FABBIANE MARIO SAS;Api-Ip;Autostradale;PONTE NELLE ALPI;Autostrada A27 MESTRE-BELLUNO, Km. 81+500, dir. Sud 32014;PONTE NELLE ALPI;BL;4.62E+16;1.23E+15;Gasolio
