ID;descCarburante;prezzo;isSelf;dtComu
3464;Benzina;1.828;0;19/01/2018 20:30
3464;Benzina;1.618;1;19/01/2018 20:30
3464;Gasolio;1.704;0;19/01/2018 20:30
3464;Gasolio;1.494;1;19/01/2018 20:30
3464;Metano;1.008;0;19/01/2018 20:30
3464;GPL;0.809;0;19/01/2018 20:30
3464;Excellium Diesel;1.574;1;19/01/2018 20:30
3467;Benzina;1.779;0;19/01/2018 08:49
3467;Benzina;1.609;1;19/01/2018 08:49
3467;Gasolio;1.659;0;19/01/2018 08:49
3467;Gasolio;1.499;1;19/01/2018 08:49
3467;Metano;1.069;0;19/01/2018 08:49
3467;GPL;0.749;0;19/01/2018 08:49
3467;Blue Super;1.929;0;19/01/2018 08:49
3467;Blue Super;1.759;1;19/01/2018 08:49
3467;Blue Diesel;1.759;0;19/01/2018 08:49
3467;Blue Diesel;1.599;1;19/01/2018 08:49
3467;Gasolio Alpino;1.659;0;19/01/2018 08:49
3467;Gasolio Alpino;1.499;1;19/01/2018 08:49
3468;Benzina;1.756;1;13/01/2018 09:41
3468;Gasolio;1.625;1;13/01/2018 09:41
3468;GPL;0.814;0;13/01/2018 09:41
3468;Excellium Diesel;1.705;1;13/01/2018 09:41
3470;Benzina;2.115;0;22/05/2017 09:30
3470;Benzina;1.925;1;22/05/2017 09:30
3470;Gasolio;2.08;0;22/05/2017 09:30
3470;Gasolio;1.89;1;22/05/2017 09:30
3470;Blue Super;2.265;0;22/05/2017 09:30
3470;Blue Super;2.075;1;22/05/2017 09:30
3470;Blue Diesel;2.18;0;22/05/2017 09:30
3470;Blue Diesel;1.99;1;22/05/2017 09:30
3471;Benzina;1.569;1;18/01/2018 18:30
3471;Gasolio;1.476;1;18/01/2018 18:30
3471;Metano;1.034;0;18/01/2018 18:30
3471;GPL;0.794;0;18/01/2018 18:30
3471;Excellium Diesel;1.556;1;18/01/2018 18:30
3472;Benzina;1.959;0;13/01/2018 09:58
3472;Benzina;1.909;1;13/01/2018 09:58
3472;Gasolio;1.839;0;13/01/2018 09:58
3472;Gasolio;1.789;1;13/01/2018 09:58
3472;GPL;0.859;0;13/01/2018 09:58
3472;Benzina WR 100;1.999;0;13/01/2018 09:58
